Populatie;Kenmerken van huishoudens;Perioden;Regio's;Particuliere huishoudens (x 1 000);Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro);Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro);Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro);Inkomen/Mediaan besteedbaar inkomen (1 000 euro)
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Nederland;8258,9;41,9;36,5;60,2;47,6
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Groningen (PV);300,2;34,9;32,1;48,4;39,6
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Fryslân (PV);303,1;37,8;34,5;54,3;45
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Drenthe (PV);225,7;39,7;36,2;57,5;48,4
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Overijssel (PV);524;40,2;36;59,2;48,3
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Flevoland (PV);189,9;40,4;37,4;60,1;52,4
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Gelderland (PV);964,7;41,2;36,6;60,1;48,9
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Utrecht (PV);634,9;44,8;39;65,1;51,5
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Noord-Holland (PV);1420;45,1;37,1;63,8;47,2
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Zuid-Holland (PV);1773,7;41,8;36,3;60;46,7
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Zeeland (PV);180,6;41,1;36,3;58,6;47,6
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Noord-Brabant (PV);1202,6;42,7;37,3;62;49,5
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Limburg (PV);539,7;38,8;34,8;54,8;44,5
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Amsterdam;498;43,8;33,8;58,4;40,1
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;'s-Gravenhage (gemeente);274;39,5;33,7;55,1;41,4
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Rotterdam;333,3;37,4;31,9;51,3;39
Particuliere huishoudens incl. studenten;Particuliere huishoudens;2024*;Utrecht (gemeente);189,2;40,2;35,9;56;42,7
